"id","status","type","severity","area","files","linux_evidence","windows_abdul_status","fix_or_plan","validation","next_action"
"BUG-005","planned","stability","medium","interrupt and executor lifecycle","src/java/billiards/viewer/BoyanMenu.java; src/java/billiards/wrapper/Wrapper.java; src/java/billiards/viewer/*.java","Linux preserves interrupt state in several task paths and uses safe executor shutdown in more UI flows","The audit remains incomplete. A reported cancel during a high-limit CNS Vary run interrupted workers waiting for the native Vary3 admission lock; BoyanMenu printed repeated ExecutionException/IllegalStateException chains whose cause was 'Interrupted while waiting to start Vary3'.","Treat cancellation while waiting for native admission as an expected terminal state rather than an execution failure; audit the remaining InterruptedException catches and executor shutdown paths while preserving the interrupt signal and Abdul's async shutdown helper where intentional.","Exact 2026-07-20 stack trace was cross-referenced from PROJECT-AGENDA.md; implementation not run.","Add one/many-worker cancellation tests while tasks are queued at beginNativeVary, assert bounded exit and no error stack, then manually repeat the reported high-limit CNS run."
"OPT-006","fixed","performance","low","polygon refinement micro-consolidation","src/backend/cpp/equations.cpp; src/backend/cpp/refine.cpp; src/backend/headers/refine.hpp","Linux has small move/profiling differences around already-ported parallel refinement","Abdul already had the main P1/P2 parallel refinement and TBB changes","Ported the only useful behavior-neutral copy reduction in intersect_one_way and replaced ambiguous QUESTION comments around parallel polygon intersection with concrete explanations","gradlew --no-daemon compileJava backendSharedLibrary testBackend passed 2026-07-14; native testBackend ran 31 cases","Manual large OSNO/MRR cover timing comparison if performance evidence is needed"
"OPT-007","fixed","performance","low","pattern finder output building","src/java/patternfinder/PatUtils.java; src/java/patternfinder/PatternFinder.java","Linux replaces String += loops with StringBuilder in pattern finder output paths","Abdul now uses StringBuilder in the same pattern finder output paths plus printAndTestTrip","Converted repeated String += accumulation to StringBuilder while preserving output separators/headers; comments explain large-output copy avoidance","gradlew --no-daemon compileJava backendSharedLibrary passed 2026-07-14; gradlew --no-daemon test passed 2026-07-14","Manual pattern finder before/after text comparison on a known small input"
"BUILD-001","fixed","build/test","medium","native C++ test runner","build.gradle","Windows backend already links against -ltbb12 and has MSYS2 PATH setup for run","Native testExecutable still linked -ltbb and testBackend did not put MSYS2 DLLs on PATH","Aligned Windows native test linker with backend TBB library and added MSYS2 bin to testBackend PATH so Boost native tests run under UCRT64","gradlew --no-daemon testBackend passed 2026-07-14; native testBackend ran 31 cases","Keep testBackend in the validation loop after native changes"
"BUG-006","fixed","ui","high","viewer vertical shift","src/java/billiards/viewer/Viewer.java","not from Linux; found during Abdul Windows volunteer-test prep","Reflect transform used the resizable StackPane height, so the reflected viewer could shift when the center pane was taller than the 600px image","Pinned imageStack to SIDE x SIDE and changed reflection translate to SIDE so the transform flips the image surface rather than the layout container","gradlew --no-daemon compileJava backendSharedLibrary testBackend test passed 2026-07-14; native testBackend ran 31 cases","Manual launch: verify the main viewer image is centered/not shifted, then toggle Reflect off/on repeatedly"
"FEAT-001","fixed","release-ui","medium","top Calculate add-to-cover checkbox","src/java/billiards/viewer/Viewer.java; src/java/billiards/viewer/CoverWindow.java","Li pattern/iteration flow already had polygon-intersection-triggered cover append behavior","Main top Calculate could draw a stable or triple but had no quick way to add the successfully calculated cover entry","Added Add to Cover checkbox beside the existing Calculate button; it reuses the same Calculate action, appends stable singles and stable-unstable-stable triples only, and checks exact existing cover lines to avoid duplicates","gradlew --no-daemon compileJava backendSharedLibrary testBackend test passed 2026-07-14; native testBackend ran 31 cases","Manual test: calculate same stable twice with checkbox on; cover should receive one entry only; calculate valid triple and verify one triple entry"
"OPT-008","fixed","performance/stability","high","user worker-count control","src/java/billiards/viewer/Main.java; src/java/billiards/viewer/Utils.java; src/java/billiards/wrapper/Wrapper.java; src/backend/headers/utils.hpp; src/backend/headers/wrapper.hpp; src/backend/cpp/wrapper.cpp","Linux port used multiple worker-count improvements; Abdul already had property/env worker knobs","Volunteers needed a simple launch argument; Java and native workers could otherwise be configured separately","Added --threads/--billiards-threads app arguments, defaulted Java/native to half available processors, clamped user requests to availableProcessors-1, and added backend_set_worker_threads so Java and native worker pools share one resolved limit","gradlew --no-daemon compileJava backendSharedLibrary testBackend test passed 2026-07-14; native testBackend ran 31 cases","Manual launch: gradlew --no-daemon run --args='--threads=2'; confirm console prints Threads available: 2 and large native tasks do not exceed requested backend workers"
"BUILD-002","fixed","release-hygiene","medium","release docs and ignore rules",".gitignore; docs/release/**","Existing docs existed outside Abdul repo and local generated files were easy to accidentally commit","Release handoff needed a repo-local doc bundle and clearer ignore rules for Gradle caches, runtime temp files, IDE metadata, and crash dumps","Copied relevant human-readable study docs into docs/release/reference, added a release report/build guide, and expanded .gitignore without deleting or untracking historical artifacts","gradlew --no-daemon compileJava backendSharedLibrary testBackend test passed 2026-07-14; native testBackend ran 31 cases","Before release, review tracked .gradle/tmp/cover artifacts separately if the commit should remove historical generated files"
"BUG-007","fixed","ui/stability","high","main-window shutdown","src/java/billiards/viewer/Viewer.java; src/java/billiards/viewer/CoverWindow.java; src/java/billiards/viewer/SmallCoverWindow.java; src/java/billiards/viewer/StablesWindow.java; src/java/billiards/viewer/IterationPolyWindow.java; src/java/billiards/viewer/IterateToLimitWindow.java; src/java/billiards/viewer/QueryStage.java; src/java/billiards/viewer/CycleVaryWindow.java; src/java/billiards/viewer/VaryWindowL.java; src/java/billiards/viewer/AutoPolyVaryLoad.java; src/java/billiards/viewer/SuperPolyVaryLoad.java; src/test/java/billiards/viewer/IterateToLimitWindowTest.java","not from Linux; longstanding window lifecycle issue reported in next-iteration notes","The original issue left auxiliary windows alive; follow-up found main shutdown called IterateToLimitWindow.close after AutoVary had constructed it only as a result sink, so nullable finish had never been initialized by execute() and finish.set(true) threw NullPointerException","Main close explicitly save-closes owned child stages; IterateToLimitWindow now uses one null-safe finish notifier for manual close, task completion, and programmatic shutdown while always clearing transient results and saving text","gradlew --no-daemon test passed 2026-07-15; null and present finish-observer regression cases passed","Manual launch: let AutoVary create the LiPattern result sink without opening LiPattern, close main, confirm clean exit; also open LiPattern normally and confirm its finish listener still fires"
"BUG-008","fixed","stability","medium","AutoPolyVary cancellation","src/java/billiards/viewer/PolyVaryTask.java","not from Linux; reported stacktrace in docs/notes_next_iter.txt","Graceful cancel could shut down the per-run shot/storage executors while a PolyVaryTask still tried to submit work, producing RejectedExecutionException on the JavaFX Application Thread","PolyVaryTask now treats rejected submissions from a shutting-down executor as a graceful stop condition and returns accumulated partials instead of throwing","gradlew --no-daemon compileJava and gradlew --no-daemon test passed 2026-07-14","Manual test: start AutoPolyVary, cancel during a large run, confirm no RejectedExecutionException and completed partial progress remains visible/saved"
"BUG-009","fixed","correctness","critical","MRR boundary provenance","src/backend/cpp/equations.cpp; src/test/headers/equations_test.hpp; src/test/resources/**","Linux contains the same batch-polygon optimization and therefore the same latent invariant risk","For MRRs above 1000 curves Abdul refined independent copies of the bounding polygon and intersected the results; a surviving linear edge such as -x-y+2eta had no trigonometric left/right witness and RearrangeVariant threw this isn't supposed to happen","Removed parallelism across the dependent refinement reduction and the non-certified tiny-polygon early exit; retained parallel curve generation and per-refinement TBB corner classification","gradlew --no-daemon testBackendSlow passed 33 cases 2026-07-15; exact reported 124-number CS matched with 1 and 4 workers","Manual UI calculation of the reported CS and another long OSNO/CS sample"
"BUG-010","fixed","correctness","high","native MRR failure classification","src/backend/cpp/wrapper.cpp; src/java/billiards/wrapper/Wrapper.java; src/java/billiards/database/Database.java","not Linux-specific; Java/native return contract was ambiguous","Native return -1 was converted to Optional.empty and cached as a mathematically empty region for the rest of the JVM session","Native wrappers now preserve the backend error text; Java throws on -1 and reserves Optional.empty for certified return 0 so failures are never cached as empty","gradlew --no-daemon testBackend test passed 2026-07-15; native suite ran 33 cases","Force a native diagnostic failure in a debug build and confirm a visible exception rather than //empty set"
"BUG-011","fixed","concurrency","critical","AutoPolyVary controller","src/java/billiards/viewer/Viewer.java; src/java/billiards/viewer/SmallCoverWindow.java; src/test/java/billiards/viewer/ViewerAutoPolyVaryTest.java","deterministic traversal from the Linux optimization made the older control-flow defect easier to reproduce but did not create it","When a previous code covered a coordinate drawAutoPolyVary recursed without returning; the old frame then created another PolyVaryTask for the same coordinate and forked progress/cancel/cover callbacks","Covered coordinates now advance iteratively in one controller; one atomic terminal claim owns shutdown/completion; result handling is shared and exact cover lines are deduplicated","gradlew --no-daemon test passed 2026-07-15; forward/reverse/zero-step controller tests passed","Repeat the reported 170-173 workflow through 4444 and cancel once; verify one terminal banner and no duplicate code lines"
"OPT-009","fixed","concurrency","high","MRR parallel worker budget","src/backend/headers/utils.hpp; src/java/billiards/wrapper/Wrapper.java; src/test/headers/equations_test.hpp","Linux/Abdul Boost loops read the configured count but direct TBB parallel_for did not have a global cap","--threads limited Boost pools but not the TBB scheduler; concurrent outer MRR calls multiplied the native worker budget","Keep one fair interruptible outer MRR admission lock while each admitted MRR parallelizes independent curve generation and corner work; keep tbb::global_control alive at the configured limit","gradlew --no-daemon testBackend and testBackendSlow passed 2026-07-15; fast test asserts TBB cap <=2","Manual --threads=2 run while observing process CPU/thread count"
"BUILD-003","fixed","build/test","high","MRR regression coverage","build.gradle; src/test/headers/equations_test.hpp; src/test/resources/**","not applicable","MRR fixture files were absent and runtime_error was caught and printed, so testBackend reported success after executing zero MRR examples or swallowing failures","Added real fixtures; missing/empty fixtures and backend exceptions fail tests; added deterministic worker comparison and opt-in testBackendSlow exact reproducer","gradlew --no-daemon testBackend test and testBackendSlow passed 2026-07-15; native suite ran 33 cases","Keep testBackendSlow in release validation after MRR/refinement changes"
"BUG-012","fixed","concurrency/correctness","critical","AutoPolyVary counter/redraw ordering","src/java/billiards/viewer/Viewer.java; src/test/java/billiards/viewer/ViewerAutoPolyVaryTest.java","reported in updated docs/nextIter.txt after BUG-011 controller testing","setOBO moved PixelRadianMap synchronously but its coalesced region redraw was asynchronous; candidate discovery sampled the previous image with the new map, produced zero-work tasks, and each immediate completion cancelled the pending redraw while advancing toward line 4444","Gate each coordinate's candidate discovery and task creation on the matching JavaFX image commit; retain background rendering and print point/candidate status including legitimate zero-candidate skips","gradlew --no-daemon compileJava and backendSharedLibrary test passed 2026-07-15; render-before-work ordering regression passed","Repeat the reported AutoPolyVary range through line 4444; verify each non-covered point reports candidates and performs vary before the counter advances"
"DOC-001","fixed","documentation","high","authoritative codebase handbook","docs/CODEBASE-HANDBOOK.md; docs/assets/handbook/**; tools/docs/**; ../PROJECT-AGENDA.md","Older studies were fragmented dated evidence and no single document progressively taught the active Abdul source","The repository lacked one source-linked learning path for a math-first Java/C reader learning C++ JavaFX JNA concurrency testing debugging and real research workflows","Added the authoritative progressive handbook workspace agenda diagrams primary-paper map and a structured Ctags/Doxygen audit with generated exhaustive member accounting and enforce mode","audit-handbook.ps1 enforce passed at 100 percent for 2708 symbols on 2026-07-16","Capture current-build annotated screenshots and expert narrated workflow examples"
"BUILD-004","fixed","build/test","medium","debugger and correctness-first benchmark tooling",".vscode/tasks.json; .vscode/launch.json; tools/benchmark/**; src/test/headers/equations_test.hpp","No repeatable VS Code mixed Java/native setup or benchmark result contract existed","Manual timings could omit worker/build metadata and a faster concurrency run could silently change MRR boundary provenance","Added JDK17 JDWP and UCRT64 GDB tasks; small/medium/large corpus; process-isolated runner with raw evidence; gated exact long-CS workload hashing interval endpoints equations and LeftRight witnesses","gradlew --no-daemon compileJava backendSharedLibrary test testBackend passed 2026-07-16 with 34 native cases; one-sample small worker matrix passed","Run at least five optimized samples for a reported performance conclusion and capture real sanitized LiLuMaxVary cover triples and LiPattern workflows"
"BUG-013","open","correctness","medium","native CodeSequence error adapter","src/backend/cpp/code_sequence.cpp; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","CodeSequence::create treats std::string::find(non-positive) as a boolean; npos is nonzero so illegal-pattern and most other constructor failures are misreported as NEGATIVE_OR_ZERO_NUMBERS","Documented the exact branch behavior without changing production code because the current project is documentation-only","Source inspection in handbook Section 14.3.6","Add focused native create tests then compare find results explicitly against std::string::npos"
"BUG-014","open","correctness/maintainability","medium","native CodeSequence immutability invariant","src/backend/headers/code_sequence.hpp; src/backend/cpp/code_sequence.cpp; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","CodeSequence claims immutable canonical identity and caches type in a mutable optional but code_numbers is public; mutation after type() can leave canonical identity and cached type inconsistent","Documented the invariant and prohibited relying on compiler-enforced immutability","Source inspection in handbook Section 14.3.1","Audit direct code_numbers writes then make storage private or invalidate the cache through controlled mutation APIs"
"BUG-015","open","correctness/maintainability","medium","symbolic container invariants","src/backend/headers/math/lin_com_map.hpp; src/backend/headers/math/lin_com_vec.hpp; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","LinComMap claims zero coefficients are impossible but its initializer-list constructor accepts them directly; LinComVec claims immutable sorted zero-free storage but exposes coeffs publicly","Documented construction and mutation paths and required optimizations to preserve canonical order and zero elimination","Source inspection in handbook Sections 14.6.4-14.6.5","Audit initializer/public-vector uses then enforce invariant-preserving construction and private compact storage with regression tests"
"BUG-016","open","correctness","high","Pattern Finder triple identity and ordering","src/java/patternfinder/Tpattern.java; src/java/patternfinder/Triple.java; src/java/patternfinder/PatternFinder.java; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","Tpattern independently primitive-normalizes three component gaps without proving one shared n; its hashCode and compareTo violate equality/ordering contracts; Triple.compareTo can collapse triples that differ outside component zero","Documented exact counterexamples and the point where tripAction loses records without changing production code","Source inspection and worked traces in handbook Sections 14.8.3-14.8.5","Add pure Java family/comparator tests; retain each component gap scalar; require one common scalar; implement equality-consistent hashes and total lexicographic ordering"
"BUG-017","open","correctness/input-validation","high","Pattern Finder validation boundaries","src/java/patternfinder/PatternFinder.java; src/java/patternfinder/PatUtils.java; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","fireCalcBtn accepts invalid triple components because only wrong types set valid=false; xtndValidate accepts zero/negative one-based indices; public GCD(0,x) returns zero and negative inputs need not terminate","Documented the exact branches and current caller preconditions without changing production code","Source inspection in handbook Sections 14.8.1 14.8.6 and 14.8.7","Add parser/validator unit tests; reject every invalid triple component and every pattern index outside 1..code.size; replace GCD with a signed-safe Euclidean implementation"
"BUG-018","open","stability/input-validation","medium","Expando template parser","src/java/billiards/viewer/Viewer.java; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","getMultipleExpandos uses literal-space replacement and split so standalone placeholders irregular whitespace leftover letters mismatched element counts and more than 26 elements fail on the JavaFX thread without structured diagnostics","Documented the actual grammar iteration trace and every unvalidated assumption without changing production code","Source inspection and worked trace in handbook Section 14.9.1","Extract a pure parser; tokenize whitespace robustly; validate the placeholder-to-element bijection and nonnegative iteration; add candidate-sequence golden tests"
"BUG-019","open","correctness/workflow","high","Expando left-right fallback","src/java/billiards/viewer/Viewer.java; src/java/billiards/wrapper/Wrapper.java; src/backend/cpp/wrapper.cpp; docs/CODEBASE-HANDBOOK.md","Exposed by source-level handbook trace after BUG-010 fixed native error classification","The UI expects a failed extrapolated witness to fall back to normal calculation but native witness mismatch returns -1 and corrected Java handling throws; the native diagnostic explicitly requests the slow path but the batch aborts","Documented the Java/native return-state mismatch and prohibited mapping generic failures back to mathematical empty","Source inspection in handbook Section 14.9.4","Introduce a typed witness-mismatch return distinct from empty and error; catch only that result to recalculate normally; regression-test changed-witness and genuine backend-failure paths"
"BUG-020","open","concurrency/error-handling","high","Pattern Super Check task","src/java/patternfinder/SuperCheckTask.java; src/java/patternfinder/PatternFinder.java; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","An inner verification ExecutionException is stored but never rethrown; later work is cancelled and partial text is returned through the success handler so backend/parser failure can masquerade as valid pattern removal","Documented submission result-order cancellation and partial-result behavior without changing production code","Source inspection in handbook Section 14.8.9","Propagate the original cause after cancelling peers; preserve prior UI text on failure; test deterministic output cancellation and one throwing verifier"
"BUG-021","open","ui/feature-wiring","medium","Pattern Finder unreachable commands","src/java/patternfinder/PatternFinder.java; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","calcAndXtBtn removeDupesBtn and verifyCB are constructed and wired but never added to the scene and have no programmatic caller; immediate verification and two commands are unreachable","Documented each hidden control and its wired behavior without changing production code","Source inspection in handbook Section 14.8.8","Decide whether each feature is supported; add supported controls to the layout with UI tests or delete dead state and document the replacement workflow"
"BUG-022","open","stability/input-validation","low","Pattern auxiliary windows","src/java/patternfinder/OneCodeWindow.java; src/java/patternfinder/SearchWindow.java; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","One Code can emit an extension line after silently omitting malformed components and throws on malformed rule cells; numeric even/odd search uses literal-space splitting and labels negative odd integers as even","Documented rule multiplication parsing and failure paths without changing production code","Source inspection and worked example in handbook Section 14.8.10","Extract pure validated transformations; reject malformed whole lines; split on whitespace and classify parity with floorMod; add rule/search parser tests"
"BUG-023","open","concurrency/correctness","critical","restricted left-right curve merge","src/backend/cpp/unfolding.cpp; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite of the Expando native path","generate_curves_lr with supplied witnesses merges task-local maps using insert; equal equation keys in later worker chunks are ignored instead of appending witness vectors and results are not sorted so worker count can change or lose LeftRight provenance","Documented the exact difference from the unrestricted deterministic append-and-sort merge without changing production code","Source inspection in handbook Section 14.13.6","Add a fixture with duplicate equation keys split across chunks; compare 1/2/4-worker CurvesLR exactly; share one append-and-sort merge helper between both overloads"
"BUG-024","open","concurrency/stability","high","unfolding worker exception propagation","src/backend/cpp/unfolding.cpp; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","Boost thread-pool lambdas call throwing edge lookup symbolic arithmetic simplification and division operations without capturing exceptions; a violated invariant or new checked-overflow path can terminate a worker/process instead of reaching the native error contract","Documented the current no-throw dependency and required exception-propagation boundary without changing production code","Source inspection in handbook Section 14.13.6","Wrap task bodies with a shared first-exception channel; stop peer work; join; rethrow on the caller thread; test one invalid witness path and one injected arithmetic failure"
"BUG-025","open","correctness/maintainability","medium","polynomial canonical invariant","src/backend/headers/math/polynomial.hpp; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","Polynomial claims zero-free combined canonical terms but its initializer-list constructor can store a zero coefficient and std::map initialization ignores rather than combines duplicate monomials","Documented the safe current empty-construction path and latent public invariant hole without changing production code","Source inspection in handbook Section 14.14.2","Route initializer entries through add or remove the public initializer constructor; add zero duplicate and print-invariant unit tests"
"BUG-026","open","correctness/performance","medium","trigonometric line factor heuristic","src/backend/cpp/division.cpp; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","divide_x2m1_partial aborts when quotient size exceeds original size plus two and division order is fixed; an exactly divisible triangle-boundary factor can be reported absent before reduction finishes and final equation size depends on initial-angle order","Documented full versus partial algorithms and the incomplete factorization contract without changing production code","Source inspection in handbook Sections 14.15.2 and 14.15.5","Build exact-division fixtures exceeding the cutoff; measure a complete bounded alternative; choose the shortest deterministic result across safe XYZ orders while preserving zero sets"
"BUG-027","open","correctness/validation","medium","stable polygon convexity diagnostic","src/backend/cpp/equations.cpp; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","convex_counterexample_checker rejects an adjacent-gradient determinant only when its interval contains zero; it does not verify a consistent determinant sign around the boundary or otherwise establish global convexity despite its name and diagnostic","Documented the implemented transversality check separately from the unproven global property without changing production code","Source inspection and determinant derivation in handbook Section 14.16.4","Construct convex nonconvex and interval-inconclusive boundary fixtures; define the required orientation invariant; either enforce it or rename and narrow the diagnostic contract"
"BUG-028","open","correctness/API-contract","medium","equation pipeline code-type precondition","src/backend/cpp/equations.cpp; src/backend/headers/equations.hpp; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","calculate_stable and calculate_unstable accept a CodeSequence and an independently supplied CodeType; they only reject the stable-versus-unstable category and can select a wrong shooting-vector formula when the type is stale or mismatched","Documented normal caller classification and the unchecked public precondition without changing production code","Source inspection and dispatch matrix in handbook Section 14.16.5","Derive CodeType once inside the public entry point or validate exact equality; add mismatched-type tests for every dispatch branch"
"OPT-010","open","performance","medium","early rational bounding rejection","src/backend/cpp/equations.cpp; docs/CODEBASE-HANDBOOK.md","Source TODO confirmed during source-level handbook rewrite","All calculate entry points build the full Unfolding and generate symbolic curves before calculate_final_polygon or calculate_final_line_segment discovers that the exact rational bounding region is empty","Documented the safe result-contract and ordering constraints without changing production code","Source inspection in handbook Section 14.16.6","Benchmark rejected-code workloads; compute the identical rational bound first; prove nonempty empty and error results match before and after the fast rejection"
"BUG-029","open","correctness/determinism","high","interval permutation ordering","src/backend/cpp/reorder.cpp; src/backend/headers/reorder.hpp; src/backend/headers/general.hpp; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","LessThan and permute_angles use interval overlap as equality in std extrema and sort comparators; overlap is not transitive so the comparator need not be a strict weak order and the final angle permutation can be undefined or unstable for overlapping enclosures","Documented the exact comparator and a three-interval counterexample without changing production code","Source inspection in handbook Section 14.17.2","Add overlapping chained-interval and exact-tie tests; define lexicographic endpoint plus XYZ total ordering; keep mathematical uncertainty separate from container ordering"
"BUG-030","open","performance/memory","high","Abdul phi-elimination vector buffer","src/backend/cpp/bounding_inequalities.cpp; docs/CODEBASE-HANDBOOK.md","Abdul-specific change identified during source-level handbook rewrite","The one-million-item task-local vector safety valve only sort/uniques in place; when most results are unique the vector stays at or above the threshold so every later append can re-sort an ever-growing vector and memory is not bounded","Documented the source/runtime difference and exact threshold behavior without changing production code","Source trace and complexity analysis in handbook Section 14.18.4","Benchmark high-uniqueness Cartesian products at 1/2/4 workers; use bounded sorted runs or task-local sets with k-way merge; assert parity with the original set result and enforce an actual memory ceiling"
"BUG-031","open","concurrency/stability","high","bounding-inequality worker exception propagation","src/backend/cpp/bounding_inequalities.cpp; docs/CODEBASE-HANDBOOK.md","Discovered during source-level handbook rewrite","Boost.Asio worker lambdas in first_inequalities and eliminate_phi call throwing symbolic invariant and allocation operations without a first-exception channel; pool.join does not transport a task exception to the wrapper contract","Documented task ownership deterministic merging and the uncaught failure boundary without changing production code","Source inspection in handbook Sections 14.18.3-14.18.4","Wrap task bodies with shared cancellation and first exception capture; join all workers then rethrow on the caller thread; test an injected symbolic failure and allocation-error adapter"
